173,343.4,0.01121000,-2.10,1121
174,345.2,0.01097800,-2.09,1098
175,347.0,0.01075200,-2.08,1075
176,348.8,0.01053100,-2.07,1053
177,350.6,0.01031600,-2.06,1032
178,352.4,0.01010600,-2.05,1011
179,354.2,0.00990100,-2.04,990
180,356.0,0.00970200,-2.03,970
181,357.8,0.00950700,-2.03,951
182,359.6,0.00931600,-2.02,932
183,361.4,0.00913100,-2.01,913
184,363.2,0.00894900,-2.01,895
185,365.0,0.00877200,-1.99,877
186,366.8,0.00860000,-1.98,860
187,368.6,0.00843100,-1.97,843
188,370.4,0.00826700,-1.97,827
189,372.2,0.00810600,-1.96,811
190,374.0,0.00794900,-1.95,795
191,375.8,0.00779600,-1.94,780
192,377.6,0.00764600,-1.94,765
193,379.4,0.00750000,-1.93,750
194,381.2,0.00735700,-1.92,736
195,383.0,0.00721700,-1.91,722
196,384.8,0.00708100,-1.90,708
197,386.6,0.00694800,-1.89,695
198,388.4,0.00681800,-1.89,682
199,390.2,0.00669000,-1.88,669
200,392.0,0.00656600,-1.87,657
201,393.8,0.00644400,-1.86,644
202,395.6,0.00632600,-1.86,633
203,397.4,0.00620900,-1.85,621
204,399.2,0.00609600,-1.84,610
205,401.0,0.00598500,-1.84,599
206,402.8,0.00587600,-1.83,588
207,404.6,0.00577000,-1.82,577
208,406.4,0.00566600,-1.81,567
209,408.2,0.00556500,-1.81,557
210,410.0,0.00546500,-1.80,547
211,411.8,0.00536800,-1.79,537
212,413.6,0.00527300,-1.78,527
213,415.4,0.00518000,-1.78,518
214,417.2,0.00508900,-1.77,509
215,419.0,0.00500000,-1.76,500
216,420.8,0.00491300,-1.76,491
217,422.6,0.00482700,-1.75,483
218,424.4,0.00474400,-1.74,474
219,426.2,0.00466200,-1.74,466
220,428.0,0.00458200,-1.72,458
221,429.8,0.00450400,-1.72,450
222,431.6,0.00442700,-1.72,443
223,433.4,0.00435200,-1.71,435
224,435.2,0.00427800,-1.71,428
225,437.0,0.00420600,-1.69,421
226,438.8,0.00413600,-1.68,414
227,440.6,0.00406700,-1.68,407
228,442.4,0.00399900,-1.68,400
229,444.2,0.00393300,-1.67,393
230,446.0,0.00386800,-1.67,387
231,447.8,0.00380400,-1.66,380
232,449.6,0.00374200,-1.64,374
233,451.4,0.00368100,-1.64,368
234,453.2,0.00362100,-1.64,362
235,455.0,0.00356200,-1.63,356
236,456.8,0.00350500,-1.61,351
237,458.6,0.00344900,-1.62,345
238,460.4,0.00339300,-1.62,339
239,462.2,0.00333900,-1.60,334
240,464.0,0.00328600,-1.60,329
241,465.8,0.00323400,-1.59,323
242,467.6,0.00318300,-1.59,318
243,469.4,0.00313300,-1.58,313
244,471.2,0.00308400,-1.57,308
245,473.0,0.00303600,-1.56,304
246,474.8,0.00298900,-1.56,299
247,476.6,0.00294300,-1.56,294
248,478.4,0.00289700,-1.55,290
249,480.2,0.00285300,-1.54,285
250,482.0,0.00280900,-1.55,281
251,483.8,0.00276600,-1.54,277
252,485.6,0.00272400,-1.52,272
253,487.4,0.00268300,-1.53,268
254,489.2,0.00264200,-1.51,264
255,491.0,0.00260300,-1.50,260
256,492.8,0.00256400,-1.50,256
257,494.6,0.00252600,-1.50,253
258,496.4,0.00248800,-1.51,249
259,498.2,0.00245100,-1.49,245
260,500.0,0.00241500,-1.47,242
261,501.8,0.00238000,-1.47,238
262,503.6,0.00234500,-1.47,235
263,505.4,0.00231100,-1.47,231
264,507.2,0.00227700,-1.47,228
